,stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes
3777,Janie Mareze,1931,Mar\`eze,Janie,F,19aa,199x,R:sr,\Fr,,
3778,Arthur Margetson,1931-1944,Margetson,Arthur,M,1897,1951,R:supporting,\Br,,
3779,Margo,1933-1963,Boldao y Castillo,Marguerita Maria Guadelupe,F,1918,199x,R:dancer,\Sp,,
3780,Janet Margolin,1962-1989,Margolin,Janet,F,1943,1993,R:suffering lead,\Am,[4.222],
3781,Stuart Margolin,1972-1981,Margolin,Stuart,M,1940,199x,R:character,\Am,,"Si(Arnold Margolin;W,D)"
3782,Michael Margotta,,,,M,[1],199x,RU:,\Un,,Cit(1)
3783,Cheech Marin,1978-1983,Marin,Richard,M,[1],199x,R:crazy comic,,,
3784,Jacques Marin,1974-1977,Marin,Jacques,,1919,199x,R:character,\Fr,,
3785,Rikki Marin,,,,F,[1],199x,RU:,\Un,,Cit(1)
3786,Howard MarionCrawford,1932-1966,Marion-Crawford,Howard,M,1914,1969,"R:jovial, beefy, sproting",\Br,,
3787,Jane March,1994,bn,gn,F,1973,199x,R:sr,\Am,,
3788,Jane Marken,1915-1958,Marken,Jane,F,1895,199x,R:character,\Fr,,
3789,Enid Markey,1915-1918,Markey,Enid,F,1890,1981,R:jungle girl,\Am,,Nt(first Jane of Tarzan)
3790,Kika Markham,1972-1981,,,F,[1],199x,RU:,\Un,,Cit(2)
3791,Monte Markham,1971-1973,Markham,Monte,M,1935,199x,R:lead,\Am,,
3792,Ted Markland,,,,M,[1],199x,RU:,\Un,[4.237],Cit(0)
3793,John Marley,1952-1980,Marley,John,M,1916,199x,R:character,\Am,,
3794,Hugh Marlowe,1937-1968,Hipple,Hugh,M,1911,1982,RU:,\Am,,Ww(Hitchcock)
3795,Scott Marlowe,1957-1961,Marlowe,Scott,M,,,R:juvenile,\Am,,
3796,Percy Marmont,1925-1956,Marmont,Percy,M,1883,1977,R:romantic,\Br,,
3797,Evaristo Marquez,,,,M,[1],199x,RU:,\Un,,Cit(1)
3798,Sally Marr,,,,F,[1],199x,RU:,\Un,,Pt(Lenny Bruce)Cit(1)
3799,Kenneth Mars,1967-1979,Mars,Kenneth,M,1936,199x,R:character comedian,\Am,[4.87],
3800,Carol Marsh,1947-1959,Simpson,Norma,F,1926,199x,R:lead,\Br,,
3801,Garry Marsh,1930-1955,Geraghty,Leslie March,M,1902,1981,"R:robust, balding",\Br,[4.753],
3802,Mae Marsh,1912-1960,Marsh,Mary Warne,F,1895,1968,"R:lead, silent",\Am,,
3803,Marion Marsh,1931-1942,Krauth,Violet,F,1913,199x,R:lead,\Am,,
3804,Alan Marshal,1936-1959,Marshal,Alan,M,1909,1961,R:light romantic,\Au,,
3805,Arthur Marshal,1959,Marshal,Arthur,M,,1989,RU:,\Ct,,
3806,Brenda Marshall,1939-1950,Marshall,Brenda,F,1915,199x,R:lead,\Am,,Mt(William Holden)
3807,Bryan Marshall,,,,M,[1],199x,RU:,\Un,,Cit(1)
3808,Connie Marshall,1944-1950,Marshall,Connie,F,1938,199x,R:child,\Am,,
3809,Don Marshall,,,,M,[1],199x,RU:,\Un,,|
3810,E.G. Marshall,1945-1983,Marshall,Everett G.,M,1910,1998,R:dignified professional,\Am,,Ww(Hitchcock) Also(TV) Noted(dob stated 1914; ignored first name)
3811,Herbert Marshall,1927-1965,Marshall,Herbert,M,1890,1966,R:one-legged playboy,\Br,,Ww(Hitchcock)
3812,James Marshall,1992,Marshall,James,M,1967,199x,R:rebel,\Am,,Cit(1)
3813,Ken Marshall,,,,M,[1],199x,RU:,\Un,,Cit(1)
3814,Penny Marshall,,,,F,[1],199x,RU:,\Un,,Mt(Rob Reiner) Cit(0)
3815,Sarah Marshall,1963,,,F,[1],199x,R:young,\Am,[34.261],Ww(Hitchcock)
3816,Tully Marshall,1915-1942,Phillips,William,M,1864,1943,R:silent,\Am,[77.17]|,
3817,Zena Marshall,1945-1962,Marshall,Zena,F,1926,199x,R:lead,\Br,,
3818,AnneMarie Martin,1984,Martin,Anne-Marie,F,1957,199x,R:ty,\Am,,Mt(M.Crichton)
3819,ChrisPin Martin,1934-1953,Martin,Chris-Pin,M,1894,1953,R:rotund,Yaqui \In,,
3820,Dean Martin,1949-1978,Crocetti,Dino,M,1917,199x,R:spoofing singer,\Am,,
3821,Dewey Martin,1949-1972,Martin,Dewey,M,1923,199x,R:lead,\Am,,
3822,Dick Martin,1968-1972,Martin,Dick,M,1923,199x,R:comic,\Am,,Ww(Dan Rowan)
3823,Edie Martin,1949-1955,Martin,Edie,F,1880,1964,"R:frail, tiny old lady",\Br,,
3824,Jean Martin,1966,,,M,[1],199x,RU:,\Fr,[4.162],Cit(1)
3825,Marion Martin,1940-1954,Martin,Marion,F,1916,199x,R:blond showgirl,\Am,,
3826,Mary Martin,1939-1979,Martin,Mary,M,1913,1990,R:musical comedy,\Am,,
3827,Millicent Martin,1960-1969,Martin,Millicent,F,1934,199x,R:songstress,\Br,,
3828,Pamela Sue Martin,1971-1979,Martin,Pamela,F,,,R:teenage detective,\Am,,
3829,Ross Martin,1955-1970,Rosenblatt,Martin,M,1920,1981,R:character,\Po-\Am,,
3830,Steve Martin,1978-1991,Martin,Steve,M,1945,199x,R:comic,\Am,[4.538],Mt(Victoria Tennant) InB(Albert Brooks)
3831,Strother Martin,1950-1979,Martin,Strother,M,1920,1980,R:grizzled westerns,\Am,[4.63],
3832,Tony Martin,1936-1957,Norris,Alfred,M,1912,199x,"R:cabaret singer, lead",\Am,,
3833,Elsa Martinelli,1955-1968,Martinelli,Elsa,F,1933,199x,R:lead,\It,,
3834,Frederick Martini,,,,M,[1],199x,RU:,\Un,,|
3835,Nino Martini,1935-1948,Martini,Nino,M,1904,1976,RU:,\It,,
3836,Al Martino,,,,M,[1],199x,RU:,\Un,,|
3837,Leslie Martinson,,Martinson,Leslie H.,F,,,RU:,\Un,,Also(D)
3838,Chico Marx,1929-1957,Schoenberg,Leonard,M,1886,1961,R:zany pianist,\Am,,
3839,Groucho Marx,1929-1974,Schoenberg,Julius,M,1890,1977,"R:zany, cynical",\Am,[4.699],"Pa(Arthur Marx) Aw(AA lifetime, 1947)"
3840,Harpo Marx,1925-1961,Schoenberg,Adolph (Arthur),M,1888,1964,"R:childish, mute",\Am,,
3841,Gummo Marx,1929-1961,Schoenberg,Milton,M,1893,1977,R:zany,\Am,,
3842,Zeppo Marx,1929-1933,Schoenberg,Herbert,M,1901,1979,R:romantic,\Am,,
3843,Marx Brothers,,Brooks,Marx,G,[1],199x,RU:,\Un,,Nt(see individually) Aw(AFI#20)
3844,Ron Masak,,,,M,[1],199x,RU:,\Un,,|
3845,Giulietta Masina,1947-1969,Masina,Giulietta,F,1921,199x,R:gamin-like,\It,,Mt(Federico Fellini)
3846,Johnny Mask,,,,M,[1],199x,RU:,\Un,,|
3847,Virginia Maskell,1957-1968,Maskell,Virginia,F,1936,1968,R:soulful eyes,\Br,,
3848,Henry Mason,,,,M,[1],199x,RU:,\Un,[4.192],
3849,Hilary Mason,1973,,,F,[1],199x,RU:,\Un,[4.193],
3850,Jack Mason,,,,M,[1],199x,RU:,\Un,,|
3851,James Mason,1935-1984,Mason,James,M,1909,1984,R:saturnine,\Br,[4.546],Ww(Hitchcock)
3852,Marsha Mason,1966-1983,Mason,Marsha,F,1942,199x,R:lead,\Am,,Mt(Neil Simon)
3853,Shirley Mason,1915-1929,Flugrath,Leona,F,1900,1979,"R:lead, silent",\Am,,
3854,Lea Massari,1958-1979,Massari,Lea,F,1933,199x,R:lead,\Fr-\It,,
3855,Osa Massen,1939-1950,Massen,Osa,F,1915,199x,RU:,\Da,,
3856,Anna Massey,1958-1979,Massey,Anna,F,1937,199x,R:character,\Br,,Nt(Mrs.Danvers on TV:Rebecca) Ww(Hitchcock) Si(Daniel Massey)
3857,Daniel Massey,1957-1980,Massey,Daniel,M,1933,199x,RU:,\Br,,Ch(Raymond Massey)
3858,Edith Massey,1972-1974,Massey,Edith,F,,1993,R:weird,\Ct,,
3859,Ilona Massey,1935-1959,Hajmassey,Ilona,F,1912,1974,R:lead,\Hu,,
3860,Raymond Massey,1931-1973,Massey,Raymond,M,1896,1983,R:saturnine,\Ca,"[4.1037,1152]",
3861,Paul Massie,1957-1962,Massie,Paul,M,1932,199x,RU:,\Ca,,
3862,Mary Stuart Masterson,1974-1992,,,F,1967,199x,RU:,\Un,"Ch(Peter Masterson; D, Carlin Glynn; A)",|
3863,Peter Masterson,,,,M,[1],199x,RU:,\Un,,|
3864,Sean Masterson,,,,M,[1],199x,RU:,\Un,,|
3865,Mary Elizabeth Mastrantonio,,,,F,[1],199x,RU:,\Un,,|
3866,Chiara Mastroianni,1992-1997,Mastroianni,Chiara,F,1972,199x,"Ch(Marcello Mastroianni, Catherine Deneuve)",|,,
3867,Marcello Mastroianni,1947-1992,Mastroianni,Marcello,M,1923,199x,R:charmer,\It,,
3868,Richard Masur,1975-1984,Masur,Richard,M,,199x,R:plump,\Am,,
3869,Clelia Matania,1973,,,F,[1],199x,RU:,\Un,[4.193],
3870,Julian Mateus,,,,M,[1],199x,RU:,\Un,,|
3871,Aubrey Mather,1931-1958,Mather,Aubrey,M,1885,1958,R:bald butler,\Br,,
3872,James Mathers,,,,M,[1],199x,RU:,\Un,,|
3873,Murray Matheson,1952-1967,Matheson,Murray,M,1912,199x,R:soft-spoken,\Br,,
3874,Tim Matheson,1965-1983,Matthieson,Tim,M,1926,199x,R:lead,\Am,,Type(TV) Also(P)
3875,Kerwin Mathews,1955-1978,Mathews,Kerwin,M,1926,199x,R:lead,\Am,,
3876,Walter Matthau,1955-1983,Mathasschanskayasky,Walter,M,1920,199x,R:wry,\Am,[4.814],Ww(Hitchcock; TV)
3877,A.E. Matthews,1914-1960,Matthews,A.E.,M,1869,1960,"R:romantic, later crotchety",\Br,,
3878,Jessie Matthews,1923-1979,Matthews,Jessie,F,1907,1981,R:vivacious,\Br,,
3879,Lester Matthews,1931-1951,Matthews,Lester,M,1900,1975,RU:,\Br,,
3880,Peter Matthey,,,,M,[1],199x,RU:,\Un,,Cit(1)
3881,Robin Mattson,,,,F,[1],199x,R:sexy,\Am,,
3882,Victor Mature,1939-1979,Mature,Victor,M,1915,199x,R:stylish hunk,\Am,,
3883,Billy Mauch,1937,Mauch,William,M,1925,199x,R:sr,\Ct,,Si(Bobby Mauch)
3884,Bobby Mauch,1937,Mauch,Robert,M,1925,199x,R:sr,\Ct,,Si(Billy Mauch)
3885,Cyril Maude,1930,Fn,Gn,M,,199x,RU:,\Un,Mainly(stage),|
3886,Carmen Maura,1986-1988,,,F,[1],199x,R:sexy,\Sp,,
3887,Nicole Maurey,1951-1962,Maurey,Nicole,F,1925,199x,R:lead,\Fr,,
3888,Edwin Maxwell,1927-1947,Maxwell,Edwin,M,1886,1948,"R:stocky, balding",\Am,,
3889,Elsa Maxwell,1939-1943,Maxwell,Elsa,F,1883,1963,R:dumpy columnist,\Am,,
3890,Lois Maxwell,1947-1980,Hooker,Lois,F,1927,199x,R:secretary,\Ca,,Er(dow-x)
3891,Marilyn Maxwell,1942-1964,Maxwell,Marvel,F,1921,1972,R:blonde singer,\Am,,
3892,Elaine May,1967-1972,May,Elaine,F,1932,199x,R:cabaret star,\Am,,"Also(W,D)"
3893,Mathilda May,1990,May,Mathilda,F,1965,199x,R:dancer,\Ge,,Er(org)
3894,Russ Mayberry,,Maxwell,Russ,M,[1],199x,RU:,\Un,,|
3895,Eddie Mayehoff,1951-1965,Mayehoff,Eddie,M,1911,199x,"R:comic, band leader",\Am,,
3896,Peter Mayhew,1980,,,M,[1],199x,R:speaking animal,\Am,,Cit(2) |
3897,Bill Maynard,1969-1976,Maynard,Bill,M,1928,199x,R:massive comic,\Br,,
3898,Ken Maynard,1924-1945,Maynard,Ken,M,1895,1973,R:cowboy,\Am,,
3899,Ferdy Mayne,1944-1983,Mayer-Boerckel,Ferdinand,M,1916,199x,R:smooth villain,\Ge,,
3900,Virginia Mayo,1943-1978,Jones,Virginia,F,1920,1995+,R:peaches and cream,\Am,,
3901,Mike Mazurki,1941-1971,Mazurwski,Mikhail,M,1909,199x,R:massive,\Ru (Ukranian),|,
3902,Melanie Mayron,,,,F,[1],199x,R:teenager,\Am,[4.229],Cit(6)
3903,Paul Mazursky,1969-1986,Mazursky,Paul,M,1938,199x,R:cameos,\Am,,
3904,Marianne McAndrew,1969-1971,McAndrew,Marianne,F,1938,199x,R:lead,\Am,,
3905,Ray McAnnely,dow,McAnnely,Ray,M,19aa,1989,R:sr,\Ct,,
3906,Andrea McArdle,,,,F,[1],199x,RU:,\Un,,|
3907,May McAvoy,1917-1929,McAvoy,May,F,1901,199x,R:lead,\Am,,
3908,Diane McBain,1960-1964,McBain,Diane,F,1941,199x,R:lead,\Am,,
3909,Donald McBride,1938-1955,McBride,Donald,M,1894,1957,R:character comedian,\Am,,
3910,Marcia McBroom,,,,F,[1],199x,RU:,\Un,,|
3911,Frances Lee McCain,,,,F,[1],199x,RU:,\Un,,|
3912,Irish McCalla,,,,F,[1],199x,RU:,\Un,,|
3913,Lon McCallister,1937-1954,McCallister Jnr,Herbert Alonzo,M,1923,199x,R:callow,\Am,,
3914,David McCallum,1956-1983,McCallum,David,M,1933,199x,R:slightly built juvenile lead,\Br; Scots,,
3915,John McCallum,1944-1971,McCallum,John,M,1917,199x,R:lead,\Au,[4.526],Mt(Googie Withers)
3916,Neil McCallum,1962-1964,McCallum,Neil,M,1929,1976,R:beefy,\Ca,,
3917,Mercedes McCambridge,1950-1979,McCambridge,Mercedes,F,1918,199x,"R:intense, unpredictable",\Am,,
3918,Andrew McCarthy,,,,M,[1],199x,RU:,\Un,,|
3919,Kevin McCarthy,1952-1983,McCarthy,Kevin,M,1914,199x,"R:lead, character",\Am,,
3920,Rue McClanahan,,,,,[1],199x,RU:,\Un,,|
3921,Fergus McClelland,,,,M,[1],199x,RU:,\Un,,|
3922,Sean McClory,1949-1968,McClory,Sean,M,1923,199x,RU:,\Ir,,
3923,Doug McClure,1959-1976,McClure,Doug,M,1935,199x,R:lead,\Am,,
3924,Marc McClure,,,,M,[1],199x,RU:,\Un,,|
3925,Keith McConnell,,,,M,[1],199x,RU:,\Un,,|
3926,Richard McConnell,,,,M,[1],199x,RU:,\Un,[4.123],
3927,Kent McCord,,,,M,[1],199x,RU:,\Un,,|
3928,Patty McCormack,1956-1968,McCormack,Patty,F,1945,199x,R:juvenile,\Am,,
3929,F.J. McCormick,1937-1946,Judge,Peter,M,1891,1947,R:character,\Ir,,
3930,Myron McCormick,1937-1961,McCormick,Myron,M,1908,1962,R:wry-faced,\Am,[4.39],
3931,Pat McCormick,,,,,[1],199x,RU:,\Un,,|
3932,Alec McCowen,1957-1983,McCowen,Alec,M,1925,199x,R:youthful,\Br,,Ww(Hitchcock)
3933,Tim McCoy,1926-1965,McCoy,Tim,M,1891,1978,R:cowboy,\Am,,
3934,Van McCoy,,,,M,[1],199x,RU:,\Un,,|
3935,Jeff McCracken,,,,M,[1],199x,RU:,\Un,,|
3936,Jody McCrea,1963,McCrea,Jody,M,,,R:athletic,\Am,,Ch(Joel McCrea)
3937,Joel McCrea,1929-1976,McCrea,Joel,M,1905,1990,R:athletic,\Am,,
3938,Hattie McDaniel,1933-1952,McDaniel,Hattie,M,1895,1952,"R:cheerful, immense presence, servant",\Am,,
3939,Hugh McDermott,1938-1972,McDermott,Hugh,M,1908,1972,R:hearty transatlantic type,\Br; Scots,,
3940,Ruth McDevitt,1962-1974,McDevitt,Ruth,F,1895,1976,R:character,\Am,,
3941,Marie McDonald,1942-1963,Frye,Marie,F,1923,1965,R:luscious,\Am,,
3942,Kit McDonough,,,,M,[1],199x,RU:,\Un,,|
3943,Betty McDowall,1957-1976,McDowall,Betty,F,,199x,R:wife,\Au,,
3944,Malcolm McDowell,1967-1983,McDowell,Malcolm,M,1943,199x,R:fashionable,\Br,[4.212],Mt(Mary Steenburgen)
3945,Roddy McDowall,1936-1982,McDowall,Roddy,M,1928,199x,R:child,\Br,[4.137],
3946,John McEnery,1968-1978,McEnery,John,M,1945,199x,R:lead,\Br,,
3947,Peter McEnery,1960-1978,McEnery,Peter,M,1940,199x,R:lead,\Br,,
3948,Arnie McEnroe,,,,M,[1],199x,RU:,\Un,,|
3949,Spanky McFarland,1933-1943,McFarland,George Emmett,M,1928,1993,R:child,\Am,,
3950,Spanky McFarland,1974,differentname,gn,M,,,R:alien?,\Am,,
3951,Darren McGavin,1946-1980,McGavin,Darren,M,1922,199x,R:character lead,\Am,,
3952,Vonetta McGee,1969-1978,McGee,Vonetta,F,,,RU:,\Am,,
3953,Everett McGill,,,,M,[1],199x,RU:,\Un,,|
3954,Ted McGinley,,,,M,[1],199x,RU:,\Un,,|
3955,John McGiver,1957-1975,McGiver,John,M,1913,1975,"R:worried, owl-like",\Am,,
3956,Frank McGlynn,1931-1940,McGlynn,Frank~sr,M,1867,1951,R:president,\Am,,
3957,Patrick McGoohan,1955-1983,McGoohan,Patrick,M,1928,199x,R:lead,\Am,,
3958,Elizabeth McGovern,1980-1983,McGovern,Elizabeth,F,1961,199x,R:lead,\Am,,
3959,Alec McGowan,,,,M,[1],199x,R:police chief,\Br,,Ww(Hitchcock) T(Bond's Q)
3960,Ali McGraw,1969-1992,McGraw,Ali,F,,,R:lead,\Am,,\Mt(Steve McQueen)
3961,Charles McGraw,1943-1976,McGraw,Charles,M,1914,1980,R:tough roles,\Am,,
3962,Angela Punch McGregor,,,,F,[1],199x,RU:,\Un,,|
3963,Julie McGregor,,,,F,[1],199x,RU:,\Un,,|
3964,Biff McGuire,1955-1976,McGuire,Biff,M,1926,199x,R:character,\Am,,Ww(Hitchcock)
3965,Bill McGuire,,,,M,[1],199x,RU:,\Un,,|
3966,Don McGuire,1948-1982,McGuire,Don,M,1919,199x,R:dull,\Am,,"Mainly(W,D)"
3967,Dorothy McGuire,1943-1983,McGuire,Dorothy,F,1919,199x,"R:gentle, sympathetic",\Am,,
3968,Marlena McGuire,,,,F,[1],199x,RU:,\Un,,|
3969,Stephen McHattie,1970-1982,McHattie,Stephen,M,,,R:lean,\Am,,
3970,Frank McHugh,1928-1967,McHugh,Frank,M,1899,1981,R:amiable,\Am,,
3971,John McIntire,1950-1981,McIntire,John,M,1907,199x,"R:spare, laconic",\Am,,Ww(Hitchcock)
3972,Michael McKean,,,,M,[1],199x,RU:,\Un,,|
3973,Lonette McKee,,,,F,[1],199x,RU:,\Un,,|
3974,Ian McKellen,1969-1983,McKellen,Sir Ian,M,1935,199x,RU:,\Br,,
3975,Siobhan McKenna,1948-1965,McKenna,Siobhan,F,1923,1986,R:fiery,\Ir,,
3976,T.P. McKenna,1970-1979,McKenna,T.P.,M,,199x,R:general purpose,\Ir,,
3977,Virginia McKenna,1952-1977,McKenna,Virginia,F,1931,199x,"R:demure, spirited",\Br,,Mt(Bill Travers)
3978,Kate McKenzie,,,,F,[1],199x,RU:,\Un,,|
3979,Leo McKern,1955-1981,McKern,Reginald,M,1920,199x,R:character,\Au,,
3980,Norman McKinnel,,,,M,[1],199x,RU:,\Un,,|
3981,Bill McKinney,,,,,[1],199x,RU:,\Un,,|
3982,Victor McLaglen,1920-1958,McLaglen,Victor,M,1883,1959,"R:burly, good-humored",\Br,[4.620],Ww(Hitchcock)
3983,Hollis McLaren,,,,,[1],199x,RU:,\Un,,|
3984,Gibb McLaughlin,1921-1957,McLaughlin,Gibb,M,1884,1960,R:emaciated features,\Br,,
3985,John C. McLaughlin,,,,M,[1],199x,RU:,\Un,,|
3986,Diana McLean,,,,F,[1],199x,RU:,\Un,,|
3987,Catherine McLeod,1946-1964,McLeod,Catherine,F,1924,199x,R:lead,\Am,,
3988,Allyn Ann McLerie,1948-1976,McLerie,Allyn Ann,F,1926,199x,"R:lead, dancer",\Ca,,
3989,John McLiam,,,,M,[1],199x,RU:,\Un,,|
3990,Marshall McLuhan,1977,McLuhan,Marshall,M,[1],199x,R:author,,,|
3991,Ed McMahon,,,,M,[1],199x,RU:,\Un,,|
3992,John McMartin,,,,M,[1],199x,RU:,\Un,,|
3993,Kenneth McMillan,1974-1982,McMillan,Kenneth,M,,,R:burly,\Am,,
3994,Barbara McNair,1969-1971,McNair,Barbara,F,,,R:singer,\Am,,
3995,Stephen McNally,1943-1972,McNally,Horace,M,1913,199x,R:lead,\Am,,
3996,Maggie McNamara,1953-1963,McNamara,Maggie,F,1928,1978,R:capable,\Am,,
3997,Gus McNaughton,1930-1946,McNaughton,Gus,M,1884,1969,R:comedy,\Br,,
3998,Howard McNear,1954-1966,McNear,Howard,M,1905,1969,R:comedy,\Am,,
3999,Patrick McNee,1943-1984,McNee,Patrick,M,1922,199x,R:smooth,\Br,,
4000,Claudia McNeil,,,,F,[1],199x,RU:,\Un,,|
4001,Kathryn McNeil,,,,F,[1],199x,RU:,\Un,Er(Kathy),|
4002,Kristy McNichol,1976-1982,McNichol,Kristy,F,1963,199x,R:juvenile,\Am,,
4003,Maggie McOmie,,,,F,[1],199x,RU:,\Un,,|
4004,Butterfly McQueen,1939-1970,McQueen,Thelma,F,1911,199x,R:character,\Am,,
4005,Steve McQueen,1956-1980,McQueen,Steve,M,1930,1980,"R:tough, sexy",\Am,[34.171],Ww(Hitchcock)
4006,Frank McRae,,,,M,[1],199x,RU:,\Un,,|
4007,Ian McShane,1962-1983,McShane,Ian,M,1942,199x,R:lead,\Br,,
4008,Michael McShane,1991,McShane,Michael,M,1955,199x,R:rotund,\Am,,
4009,Robert McWade,1924-1938,McWade,Robert,M,1865,1938,R:elderly crotch,\Am,,
4010,Audrey Meadows,1960,,,M,"[1,6]",199x,R:lively,\Am,[34.189],Ww(Hitchcock)
4011,Jayne Meadows,1947-1947,Meadows,Jayne,F,1920,199x,R:unsympathetic,\Am,,
4012,Joyce Meadows,,,,F,[1],199x,RU:,\Un,,|
4013,Anne Meara,1969-1982,Meara,Anne,F,1929,199x,R:comedienne,\Am,,Mt(Jerry Stiller) Pa(Ben Stiller)
4014,DeAnn Mears,,,,F,[1],199x,RU:,\Un,,|
4015,Sylvie Meda,,,,F,[1],199x,RU:,\Un,,|
4016,Kay Medford,1942-1978,Medford,Kay,F,1914,1980,R:character,\Am,,
4017,Patricia Medina,1942-1968,Medina,Patricia,F,1921,199x,R:lead,\Br,[34.298],Ww(Hitchcock)
4018,Michael Medwin,1946-1970,Medwin,Michael,M,1923,199x,R:light character comedian,\Br,,
4019,Donald Meek,1928-1946,Meek,Donald,M,1880,1946,"R:bald, worried, timid",\Br(Scot),[4.1083],
4020,George Meeker,,,,M,[1],199x,RU:,\Un,,|
4021,Ralph Meeker,1951-1980,Rathgeber,Ralph,M,1920,199x,R:strong silent,\Am,,Ww(Hitchcock)
4022,Thomas Meighan,1916-1934,Meighan,Thomas,M,1879,1936,R:silent lead,\Am,,
4023,John Meillon,1959-1966,Meillon,John,M,1934,199x,R:character,\Au,,
4024,Mariangela Melato,,,,F,[1],199x,RU:,\Un,,|
4025,Claudine Melgrave,,,,F,[1],199x,RU:,\Un,,|
4026,George S. Melies,1896-1912,Melies,George S.,M,1861,1938,R:conjurer,\Fr,,"MainlyC,(D)"
4027,Marisa Mell,1964-1977,Mell,Marisa,F,1929,199x,R:lead,\Fr,,
4028,Michael Melling,,,,M,[1],199x,RU:,\Un,,Er(name)
4029,Fuller Mellish~jr.,,,,M,[1],199x,RU:,\Un,,|
4030,Breno Mello,,,,M,[1],199x,RU:,\Un,,|
4031,JeanPierre Melville,1947-1972,Grumbach,J.P.,M,1917,1973,RU:,\Un,,Also(D)
4032,Sam Melville,,,,M,[1],199x,RU:,\Un,,|
4033,Murray Melvin,1960-1982,Melvin,Murray,M,1932,199x,R:light character,\Br,,
4034,Mauro Mendonco,,,,M,[1],199x,RU:,\Un,,|
4035,Adolphe Menjou,1916-1953,Menjou,Adolphe,M,1890,1963,R:dapper,\Fr,[4.1083],
4036,Doro Merande,1940-1967,Merande,Doro,F,1898,1975,"R:acidulous, eccentric, whimsical spinster",\Am,,
4037,Nerida Mercado,,,,F,[1],199x,RU:,\Un,,|
4038,Beryl Mercer,1923-1939,Mercer,Beryl,F,1882,1939,"R:mothers, maids, landladies",\Br,,
4039,Vivien Merchant,1966-1977,Merchant,Vivien,F,1929,1983,RU:,\Br,,Ww(Hitchcock) Mt(Harold Pinter)
4040,Michele Mercier,1961-1963,Mercier,Michele,F,1942,199x,R:lead,\Fr,,
4041,Melina Mercouri,1954-1978,Mercouri,Melina,F,1923,1994,"R:volatile, flashing smile",\Gr,,Mt(Jules Dassin)
4042,Burgess Meredith,1936-1982,Burgess,George,M,1908,1997,R:ornery,\Am,,"Mt(, , , )"
4043,Don Meredith,,,,M,[1],199x,RU:,\Un,,|
4044,Lee Meredith,,,,F,[1],199x,RU:,\Un,,|
4045,John Merivale,,Merivale,John,M,,1990,RU:,\Ct,,
4046,Philip Merivale,1935-1945,Merivale,Philip,M,1886,1946,RU:,\Br,,
4047,Lee Meriwether,1959-1980,Meriwether,Lee,F,1935,199x,R:spooky,\Am,,"Mt(Frank Aletter, Marshall Borden) Nt(Miss San Francisco 1954, Miss USA 1955)"
4048,Una Merkel,1930-1966,Merkel,Una,F,1903,1986,R:character,\Am,,
4049,Ethel Merman,1930-1976,Zimmermann,Ethel,F,1908,1984,"R:brassy, vibrant",\Am,,
4050,Mary Merrall,1920-1966,Lloyd,Mary,F,,199x,"R:fey, absent-minded",\Br,,
4051,Dina Merrill,1957-1980,Rumbough,Nedenia Hutton,F,1928,199x,R:lead,\Am,,
4052,Gary Merrill,1944-1974,Merrill,Gary,M,1914,1990,"R:dependable, tough-looking",\Am,[34.260],Ww(Hitchcock)
4053,George Merritt,1930-1970,Merritt,George,M,1890,1977,R:solid presence,\Br,,
4054,Jane Merrow,1961-1981,Merrow,Jane,F,1941,199x,R:lead,\Br,,
4055,William Mervyn,1952-1976,Pickwood,William,M,1912,1976,"R:portly, plummy-voiced",\Br,,
4056,Hannes Messemer,1956-1966,Messemer,Hannes,M,1924,199x,R:general purpose,\Ge,,
4057,Mayo Methot,1931-1949,Methot,Mayo,F,1904,1951,RU:,\Am,,Mt(Humphrey Bogart)
4058,Art Metrano,1971-1983,Metrano,Art,M,1937,,R:chubby character,\Am,,
4059,Jim Metzler,,,,M,[1],199x,RU:,\Un,,|
4060,Emile Meyer,1951-1970,Meyer,Emile,M,1903,199x,R:crooked cop,\Am,,
4061,Torben Meyer,1935-1947,Meyer,Torben,M,,199x,R:character,\Ge,,
4062,Vittorio Mezzoglomo,,,,M,[1],199x,RU:,\Un,,|
4063,Ralph Michael,1938-1968,Shotter,Ralph Champion,M,1907,199x,R:stiff-upper-lip,\Br,,
4064,Beverly Michaels,1949-1955,Michaels,Beverly,F,1927,199x,R:lead,\Am,,
4065,Dolores Michaels,1957-1961,Michaels,Dolores,F,1930,199x,R:lead,\Am,,
4066,Drew Michaels,,,,M,[1],199x,RU:,\Un,,|
4067,Jordan Michaels,,,,M,[1],199x,RU:,\Un,,|
4068,Matt Michaels,,,,M,[1],199x,RU:,\Un,,|
4069,Keith Michell,1957-1982,Michell,Keith,M,1926,199x,R:lead,\Au,,
4070,Ann Michelle,,,,F,[1],199x,RU:,\Un,,|
4071,Charlotte Michelle,,,,F,[1],199x,RU:,\Un,,|
4072,Charles Middleton,1932-1949,Middleton,Charles,M,1874,1949,R:villainous,\Am,,
4073,Guy Middleton,1932-1970,Middleton-Powell,Guy,M,1906,1973,"R:hearty-type, amiable idiot",\Br,,
4074,Ray Middleton,1940-1955,Middleton,Ray,M,1908,199x,R:singer,\Am,,
4075,Robert Middleton,1955-1971,Middleton,Robert,M,1911,1977,"R:weighty, villain",\Am,,Ww(Hitchcock)
